Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N056,39.80359693,-119.00343780,328491.828,4407878.716,1244.872,1269.298,2016-03-08,18:35:55.282,2016-03-26,17:34:56.282,358,
N057,39.80398671,-119.00291180,328537.829,4407920.972,1246.685,1271.109,2016-03-08,21:06:45.972,2016-03-26,17:23:46.972,359,
N058,39.80456392,-119.00256710,328568.774,4407984.381,1247.898,1272.321,2016-03-08,19:22:24.074,2016-03-26,17:33:55.074,357,
N059,39.80504009,-119.00203180,328615.785,4408036.210,1247.142,1271.563,2016-03-10,22:20:15.444,2016-03-26,17:34:46.444,006,
N060,39.80544257,-119.00171570,328643.847,4408080.279,1249.302,1273.722,2016-03-09,17:56:49.250,2016-03-26,18:34:20.250,333,
N061,39.80601363,-119.00110590,328697.470,4408142.498,1248.534,1272.952,2016-03-09,19:05:14.220,2016-03-26,18:35:45.220,003,
N062,39.80665848,-119.00062010,328740.660,4408213.146,1250.154,1274.571,2016-03-09,19:30:13.612,2016-03-26,18:35:14.612,358,
N063,39.80704249,-119.00026500,328772.013,4408255.091,1250.925,1275.341,2016-03-09,19:42:27.244,2016-03-26,18:33:58.244,358,
N064,39.80736813,-118.99980310,328812.364,4408290.352,1251.369,1275.784,2016-03-09,19:53:03.160,2016-03-26,20:34:34.160,357,
N065,39.80791971,-118.99931290,328855.698,4408350.639,1252.126,1276.539,2016-03-09,20:06:31.394,2016-03-26,18:35:02.394,000,
N066,39.80856864,-118.99886240,328895.874,4408421.808,1252.922,1277.334,2016-03-09,21:38:15.686,2016-03-26,18:35:16.686,356,
N067,39.80892159,-118.99844440,328932.532,4408460.185,1253.904,1278.315,2016-03-09,21:59:11.556,2016-03-26,20:33:42.556,358,
N068,39.80950773,-118.99789750,328980.804,4408524.200,1255.293,1279.702,2016-03-09,22:13:28.128,2016-03-26,20:33:29.128,356,
N069,39.80992287,-118.99752920,329013.361,4408569.576,1256.369,1280.776,2016-03-09,22:23:53.808,2016-03-26,20:32:54.808,359,
N070,39.81039151,-118.99706620,329054.158,4408620.710,1257.688,1282.095,2016-03-09,22:34:41.558,2016-03-26,20:33:42.558,356,
N071,39.80044764,-119.00688530,328188.835,4407535.763,1236.440,1260.874,2016-03-09,17:33:31.268,2016-03-26,16:39:32.268,350,
N072,39.800875,-119.006523,328220.92,4407582.52,1238,1262,2016-03-08,23:02:05.688,2016-03-26,21:06:06.688,345,"Located by handheld GPS,averaged over 1-2 minutes"
N073,39.80136278,-119.00600670,328266.336,4407635.656,1238.736,1263.167,,,,,357,"3/13:TREX pulses causing liquifaction,sensor falls in hole. Neal Lord replaces and reorients sensor; No data retrieved"
N074,39.80186409,-119.00558107,328356.577,4407763.308,1239.247,1263.677,2016-03-08,23:17:58.118,2016-03-26,17:01:29.118,344,
N075,39.80253091,-119.00498674,328356.561,4407763.324,1240.147,1264.576,2016-03-08,23:28:14.808,2016-03-26,17:01:45.808,003,
N076,39.80336007,-119.00420930,328425.189,4407853.904,1242.565,1266.991,2016-03-08,23:38:05.488,2016-03-26,17:02:06.488,347,3/23: Cone placed 03:23:22:47; Cone removed when nodal recovered
N077,39.80378746,-119.00377610,328463.339,4407900.513,1243.579,1268.003,2016-03-08,23:45:57.412,2016-03-26,17:34:28.412,340,3/22: Cone placed 03:22:21:43; Cone removed when nodal recovered
N078,39.80434960,-119.00324830,328509.923,4407961.898,1245.204,1269.628,2016-03-09,00:15:07.284,2016-03-26,17:24:38.284,350,3/22: Cone placed 03:22:21:41; Cone removed when nodal recovered
