Channel,X,Y,Z
number,UTM [m],UTM [m],UTM [m]
323,327976.49,4407517.18,1229.393
324,327977.3,4407516.59,1229.411
325,327978.12,4407516,1229.43
326,327978.94,4407515.41,1229.449
327,327979.76,4407514.82,1229.468
328,327980.57,4407514.23,1229.487
329,327981.39,4407513.64,1229.506
330,327982.21,4407513.04,1229.524
331,327983.02,4407512.45,1229.543
332,327983.84,4407511.86,1229.562
333,327984.66,4407511.27,1229.581
334,327985.48,4407510.68,1229.599
335,327986.29,4407510.09,1229.618
336,327987.11,4407509.5,1229.636
337,327987.93,4407508.9,1229.655
338,327988.74,4407508.31,1229.673
339,327989.56,4407507.72,1229.692
340,327990.38,4407507.13,1229.71
341,327991.2,4407506.54,1229.728
342,327992.01,4407505.95,1229.747
343,327992.83,4407505.36,1229.765
344,327993.65,4407504.76,1229.791
345,327994.46,4407504.17,1229.821
346,327995.28,4407503.58,1229.852
347,327996.1,4407502.99,1229.883
348,327996.91,4407502.4,1229.914
349,327997.73,4407501.81,1229.944
350,327998.55,4407501.22,1229.975
351,327999.37,4407500.63,1230.005
352,328000.18,4407500.03,1230.036
353,328001,4407499.44,1230.066
354,328001.82,4407498.85,1230.096
355,328002.63,4407498.26,1230.126
356,328003.45,4407497.67,1230.155
357,328004.27,4407497.08,1230.183
358,328005.09,4407496.49,1230.209
359,328005.9,4407495.89,1230.233
360,328006.72,4407495.3,1230.258
361,328007.54,4407494.71,1230.284
362,328008.35,4407494.12,1230.31
363,328009.17,4407493.53,1230.347
364,328009.99,4407492.94,1230.384
365,328010.81,4407492.35,1230.421
366,328011.62,4407491.76,1230.458
367,328012.34,4407491.85,1230.472
368,328012.96,4407492.64,1230.479
369,328013.57,4407493.43,1230.486
370,328014.19,4407494.21,1230.496
371,328014.8,4407495,1230.509
372,328015.42,4407495.79,1230.522
373,328016.04,4407496.57,1230.535
374,328016.65,4407497.36,1230.548
375,328017.27,4407498.15,1230.562
376,328017.88,4407498.93,1230.575
377,328018.5,4407499.72,1230.586
378,328019.12,4407500.51,1230.597
379,328019.73,4407501.29,1230.606
380,328020.35,4407502.08,1230.615
381,328020.96,4407502.87,1230.624
382,328021.58,4407503.65,1230.633
383,328022.2,4407504.44,1230.643
384,328022.81,4407505.23,1230.652
385,328023.43,4407506.01,1230.662
386,328024.05,4407506.8,1230.672
387,328024.66,4407507.59,1230.681
388,328025.28,4407508.37,1230.692
389,328025.89,4407509.16,1230.704
390,328026.51,4407509.95,1230.718
391,328027.13,4407510.73,1230.725
392,328027.74,4407511.52,1230.723
393,328028.36,4407512.31,1230.716
394,328028.97,4407513.09,1230.705
395,328029.59,4407513.88,1230.69
396,328030.21,4407514.67,1230.674
397,328030.82,4407515.45,1230.657
398,328031.44,4407516.24,1230.639
399,328032.06,4407517.03,1230.62
400,328032.67,4407517.81,1230.6
401,328033.29,4407518.6,1230.581
402,328033.9,4407519.39,1230.561
403,328034.52,4407520.17,1230.541
404,328035.14,4407520.96,1230.521
405,328035.75,4407521.75,1230.501
406,328036.37,4407522.53,1230.48
407,328036.98,4407523.32,1230.459
408,328037.6,4407524.11,1230.437
409,328038.22,4407524.89,1230.414
410,328038.83,4407525.68,1230.392
411,328039.45,4407526.47,1230.369
